cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
B,B_RAW,Raw,K-Means,NA,4,0.0858,90.4,2.5224,0.7965,0.103,"kmeans_stability (B=200, 80% subsample, ARI)",0.152,0.3071,2.02,False,
B,B_RAW,Raw,K-Means,NA,5,0.08267,79.61,2.4877,0.7204,0.1668,"kmeans_stability (B=200, 80% subsample, ARI)",0.0383,0.2823,7.38,False,
B,B_RAW,Raw,K-Means,NA,6,0.06837,71.01,2.5968,0.5727,0.1121,"kmeans_stability (B=200, 80% subsample, ARI)",0.0372,0.242,6.5,False,
B,B_RAW,Raw,K-Means,NA,7,0.07123,64.76,2.5942,0.5184,0.1209,"kmeans_stability (B=200, 80% subsample, ARI)",0.0383,0.2037,5.32,False,
B,B_RAW,Raw,GMM,full_cov,2,0.158,61.6,3.4584,,,NA (not generated),0.2223,0.7777,3.5,False,BIC=55842; mean_max_posterior=0.984
B,B_RAW,Raw,GMM,full_cov,3,0.04729,61.75,3.6215,,,NA (not generated),0.1531,0.454,2.97,False,BIC=56657; mean_max_posterior=0.963
B,B_RAW,Raw,GMM,full_cov,4,0.04352,59.93,3.1287,,,NA (not generated),0.1179,0.3588,3.04,False,BIC=57969; mean_max_posterior=0.971
B,B_RAW,Raw,GMM,full_cov,5,0.04327,54.26,3.098,,,NA (not generated),0.0776,0.2813,3.63,False,BIC=59334; mean_max_posterior=0.971
B,B_RAW,Raw,GMM,full_cov,6,0.03413,45.85,3.0732,,,NA (not generated),0.03,0.2906,9.69,False,BIC=60888; mean_max_posterior=0.969
B,B_RAW,Raw,GMM,full_cov,7,0.03258,47.31,3.1818,,,NA (not generated),0.0103,0.2296,22.2,False,BIC=60893; mean_max_posterior=0.978
B,B_RAW,Raw,Spectral,kNN_k10_NJW,2,0.10397,106.39,2.8649,,,NA (not generated),0.4891,0.5109,1.04,False,eigengap_prev=0.09659; eigengap_next=0.00953
B,B_RAW,Raw,Spectral,kNN_k10_NJW,3,0.08936,100.81,2.4709,,,NA (not generated),0.2947,0.4064,1.38,False,eigengap_prev=0.00953; eigengap_next=0.07961
B,B_RAW,Raw,Spectral,kNN_k10_NJW,4,0.07744,85.46,2.6698,,,NA (not generated),0.181,0.304,1.68,False,eigengap_prev=0.07961; eigengap_next=0.01375
B,B_RAW,Raw,Spectral,kNN_k10_NJW,5,0.04591,69.63,2.9559,,,NA (not generated),0.1789,0.2658,1.49,False,eigengap_prev=0.01375; eigengap_next=0.03585
B,B_RAW,Raw,Spectral,kNN_k10_NJW,6,0.06029,65.32,2.7311,,,NA (not generated),0.0414,0.2544,6.15,False,eigengap_prev=0.03585; eigengap_next=0.01079
B,B_RAW,Raw,Spectral,kNN_k10_NJW,7,0.04724,59.38,2.6226,,,NA (not generated),0.0403,0.2358,5.85,False,eigengap_prev=0.01079; eigengap_next=0.01641
B,B_RAW,Raw,Hierarchical,Ward,2,0.08182,81.15,3.283,0.1401,0.1281,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.4116,0.5884,1.43,False,
B,B_RAW,Raw,Hierarchical,Ward,3,0.0486,73.52,2.8075,0.2782,0.0661,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.2927,0.4116,1.41,False,
B,B_RAW,Raw,Hierarchical,Ward,4,0.05127,67.47,2.9282,0.3357,0.0566,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.1624,0.2958,1.82,False,
B,B_RAW,Raw,Hierarchical,Ward,5,0.05664,62.93,2.7214,0.3481,0.0567,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0331,0.2958,8.94,False,
B,B_RAW,Raw,Hierarchical,Ward,6,0.04167,56.24,2.823,0.334,0.0466,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0331,0.2927,8.84,False,
B,B_RAW,Raw,Hierarchical,Ward,7,0.03384,51.19,2.7744,0.3313,0.0474,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0331,0.2927,8.84,False,
B,B_RAW,Raw,Hierarchical,Complete,2,0.61319,11.65,0.281,,,excluded — degenerate outlier-peeling,0.001,0.999,966.0,True,DEGENERATE: outlier-peeling — high silhouette is artifact
