SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
98495.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98500.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98512.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
98542.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98545.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98548.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98551.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98561.0,1,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0
98565.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98611.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
98661.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98673.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98677.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98680.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98689.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98728.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98733.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98747.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98748.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98751.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98762.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98772.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98775.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98778.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98780.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
98781.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98791.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98793.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98804.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98828.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
98832.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98843.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98846.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
98865.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98877.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98892.0,1,0,0,3,1,1,0,0,1,0,2,6,0,0,0,0,0,0
98902.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98904.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
98910.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98921.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98932.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98933.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
